% first column refers to label in round, second column is the guess
% Please enter "0" if the label was not present in the round
% First Round
1	0
2	1
3	0
4	8
5	6
6	0
7	4
8	2

% Second Round
1	0
2	4
3	0
4	6
5	8
6	5
7	0
8	3

% Third Round
1	1
2	2
3	0
4	0
5	5
6	6
7	7
8	0
